Game_Name, Game_Tag,Rank, Price
Utawarerumono: Prelude to the Fallen,Turn-Based Tactics  Visual Novel  Anime  Story Rich,1,39.2
Home Behind 2,Strategy  Adventure  RPG  Indie,2,13.05
DesktopMMD3:Miss Fish,Anime  JRPG  Cartoony  Comic Book,3,4.25
Mad Games Tycoon 2,Early Access  Economy  Management  Game Development,4,19.8
Don't Cheat On Me,Action  Simulation  Casual  Multiplayer,5,7.65
SuchArt: Creative Space,Simulation  Realistic  Singleplayer  Funny,6,0
Ocean's Heart,Character Action Game  Action RPG  Pixel Graphics  Action-Adventure,7,14.5
Phoenotopia: Awakening,Adventure  Action  Platformer  Metroidvania,8,16.65
ENDER LILIES: Quietus of the Knights,Metroidvania  Souls-like  Dark Fantasy  Female Protagonist,9,18.5
Dyson Sphere Program,Space  Automation  Simulation  Open World,10,16.65
Lamp Chronicle,Early Access  Metroidvania  Souls-like  Platformer,11,13.05
Skul: The Hero Slayer,Indie  Action  Action Roguelike  Pixel Graphics,12,14.8
Neon,Casual  Action  Puzzle  Arcade,13,5.4
CosmicBreak Universal,Early Access  Massively Multiplayer  0  RPG,14,0
CALL OF LDPR,Shooter  Adventure  Comedy  Open World,15,10
The Adventure of NAYU,Casual  Indie  Clicker  2D,16,2.76
Samurai Cat,Cats  Puzzle  Board Game  Cute,17,0.88
The Space in Between,Adventure  Casual  Experimental  Interactive Fiction,18,0
Frame of Mind,3D Platformer  Puzzle Platformer  Platformer  Exploration,19,0
EVERSPACE™ 2,Space  Looter Shooter  Flight  Space Sim,20,38
Trikaya,Casual  Puzzle  Exploration  Adventure,21,0
Puzzle Box Palace,Indie  Adventure  Puzzle  0,22,0
Reach the Summit,Casual  2D Platformer  Survival  2D,23,0.66
Gloom and Doom,Choose Your Own Adventure  Fantasy  Horror  Casual,24,16.65
Dragon Call,Roguelike Deckbuilder  Card Battler  Strategy  Indie,25,6
??,Horror  2D Platformer  Puzzle Platformer  RPG,26,6
????? Moon Fall,RPG  Sexual Content  Indie  Simulation,27,14.5
Fujiwara Bittersweet,Indie  Visual Novel  Otome  Story Rich,28,0
TurnTack,Puzzle Platformer  Atmospheric  Indie  Adventure,29,14.5
Wizards,Early Access  0  Strategy  Casual,30,0
hexceed,0  Casual  Puzzle  Relaxing,31,0
Smoked Gun,Casual  Adventure  Simulation  Shooter,32,0.66
Figment 2: Creed Valley - Prologue,Action-Adventure  Action  Hand-drawn  2.5D,33,0
EQI,First-Person  Exploration  Action  Puzzle,34,0
BasCatball Jupiter: Basketball & Cat,Puzzle  Casual  Basketball  Mars,35,2.6
Farmer's Life: Prologue,Farming Sim  Simulation  Trading  Singleplayer,36,0
Candy Disaster - Tower Defense,Tower Defense  Strategy  Adventure  Funny,37,15.72
Knights College,Visual Novel  Choose Your Own Adventure  LGBTQ+  Story Rich,38,19.8
Diving Disorder-???,Interactive Fiction  2D  Adventure  First-Person,39,2.27
Project Morpheus: Prologue,Adventure  Strategy  RPG  Action,40,0
YUME,Sexual Content  Strategy  Puzzle  Exploration,41,3.25
Ancient Abyss,Early Access  Hack and Slash  Roguelike  Action RPG,42,14.5
Kore,Adventure  Mythology  Stealth  Atmospheric,43,0
Farm Manager 2021: Prologue,Strategy  Simulation  Casual  Building,44,0
Dungeon and Puzzles,Sokoban  Puzzle  Difficult  Logic,45,8.5
Sunlight,Adventure  Experimental  Walking Simulator  3D,46,4.25
Cloud Climber,Casual  Adventure  Indie  0,47,0
Down in Bermuda,Adventure  Casual  Indie  Puzzle,48,18.5
Word Game: Episode 0,Adventure  Strategy  RPG  Interactive Fiction,49,0
Lotus Reverie: First Nexus,Visual Novel  Anime  Time Management  Mystery,50,15
Purplis Sandbox,Simulation  Sandbox  Building  2D,51,5.25
Gemini Strategy Origin,Sexual Content  Nudity  Tactical RPG  NSFW,52,5.25
Skellboy Refractured,Adventure  Indie  2.5D  Family Friendly,53,18.5
Object N,FPS  Shooter  Horror  3D,54,0
Cinderella Phenomenon: Evermore,Visual Novel  Casual  Fantasy  Romance,55,10
Town Of The Dead Life ????,Adventure  Strategy  RPG  Indie,56,6.5
ROG CITADEL XV,Adventure  Action  Action RPG  Action-Adventure,57,0
Yaga,RPG  Hack and Slash  Funny  Atmospheric,58,24.99
Heroes of the Three Kingdoms 8,Strategy  Historical  RPG  Simulation,59,38
????,RPG  Indie  Cyberpunk  Story Rich,60,8.5
Desktop Honey,Casual  Simulation  Tabletop  Dating Sim,61,1.1
???-Singing Iris,RPG  Adventure  Indie  Nudity,62,5.25
Don´t Spill,Puzzle  Casual  Resource Management  Medieval,63,2.15
The Call Of Paper Plane,Adventure  Casual  Action-Adventure  Clicker,64,4.25
Arnold,Early Access  Action  Puzzle  Experimental,65,9
Sakura MMO Extra,Visual Novel  Anime  Simulation  Romance,66,10
100 hidden cupcakes,Casual  Adventure  Puzzle  Hidden Object,67,1.1
Kemono Mahjong,Casual  Tabletop  Board Game  Card Game,68,5.25
Club Girl,Casual  Simulation  Rhythm  3D,69,1.1
Grow Defense,Casual  Idler  Tower Defense  Indie,70,0
Acolyte: Prologue,Adventure  Experimental  Interactive Fiction  Visual Novel,71,2.15
Neon Parkour,Casual  Parkour  2D Platformer  Puzzle,72,3.25
?? ????,Simulation  Dating Sim  Visual Novel  Cute,73,0
6 Seasons and a Game,Arena Shooter  FPS  Satire  Casual,74,3.25
Pocket Watch,Adventure  Indie  Puzzle  Singleplayer,75,
Mambo Wave,Action  Casual  Platformer  2D Platformer,76,2.15
Alien X,2D Platformer  Survival  Space  Platformer,77,1.1
Critters for Sale: SNAKE,Adventure  Visual Novel  Point & Click  Psychological Horror,78,0
The Labyrinth,Adventure  RPG  Dungeon Crawler  Turn-Based,79,5.25
Luck be a Landlord,Roguelike Deckbuilder  Simulation  Strategy  Roguelite,80,10
Hike,Adventure  Relaxing  Nature  Casual,81,3.25
Hero by Chance,Sexual Content  Nudity  Hentai  Strategy,82,2.15
A Little Shop in Squirrel Town,Early Access  Simulation  Trading  Economy,83,10
Endless Voyage / ????,Strategy  RPG  Card Game  Adventure,84,18
????,Sexual Content  Nudity  Mature  NSFW,85,13
Iron Conflict,Early Access  Multiplayer  War  MOBA,86,14.5
Kasi,Casual  Simulation  Building  Management,87,5.25
True Mining Simulator,Simulation  Indie  Early Access  Mining,88,5
Lost Existence,Action  Indie  Adventure  RPG,89,0
Press Any Button,Emotional  Story Rich  Interactive Fiction  Game Development,90,0
Elon's Dream 2,Casual  Side Scroller  Flight  Exploration,91,2.15
Street Cleaner: The Video Game,Action  Indie  Platformer  2D,92,14.5
Mage Hunters,Strategy  Board Game  Tabletop  Turn-Based Combat,93,1.1
Blacksmith of the Sand Kingdom,RPG  Adventure  Fantasy  Party-Based RPG,94,18.5
???????,JRPG  Turn-Based Tactics  Tactical RPG  Visual Novel,95,16
Curse That Magic Cat!,Casual  Cats  Cute  Funny,96,0
Crystal Call,Action  Action-Adventure  Arcade  Platformer,97,0
Disillusion,Adventure  RPG  Experimental  Dungeon Crawler,98,0
Guilty Parade,Visual Novel  Point & Click  Detective  War,99,5.25
DOM RUSALOK,Indie  Adventure  Atmospheric  Story Rich,100,10
Beholder's Lair,Precision Platformer  Action  Perma Death  Dark Fantasy,101,5.25
Save daddy trump 2: The Final Triumph,Adventure  RPG  Action  Character Action Game,102,2.15
Soulestination,Strategy RPG  Adventure  Indie  Exploration,103,3.25
Shopping Empire Tycoon,Simulation  Casual  Management  Economy,104,7.5
NERTS! Online,Solitaire  Casual  Multiplayer  PvP,105,0
Orion: The Eternal Punishment,FPS  Retro  Exploration  First-Person,106,0
Cobra Kai: The Karate Kid Saga Continues,Beat 'em up  2D Fighter  Martial Arts  Fighting,107,18.5
Arc Wizards 3,Casual  Adventure  Action  Action-Adventure,108,0
I'a I'a Cofflhu Fhtagnyaa,Visual Novel  Interactive Fiction  Anime  Word Game,109,5.25
Madden NFL 21,Football  Sports  PvP  Competitive,110,79.9
Villa's Blinds,Adventure  Casual  Simulation  Early Access,111,14.99
Cruelty Squad,Early Access  FPS  Tactical  Immersive Sim,112,18.5
Infinite Gateway,Action  Indie  Casual  Simulation,113,2.5
Boots Versus Plants,Casual  Adventure  Action  2D Platformer,114,1.1
Durka Simulator,Early Access  Simulation  Sandbox  Survival,115,0
GunBlocks - Prologue,Action  Puzzle  Experimental  Puzzle Platformer,116,0
Space Kettle,Difficult  Singleplayer  Psychological Horror  Physics,117,5.25
Space Cats Tactics: Prologue,Tactical RPG  Turn-Based Tactics  Exploration  RPG,118,0
Gun Witch,Adventure  RPG  Platformer  Action RPG,119,0
44 Minutes in Nightmare,Horror  Roguelike  Action Roguelike  Stealth,120,6.5
A traveler's photo album,Nudity  Sexual Content  Puzzle  Strategy,121,1.1
Caravaneer 2,RPG  Trading  Simulation  Economy,122,6.5
Motesolo : No Girlfriend Since Birth,Early Access  Simulation  FMV  Cinematic,123,29
GranAge,Action-Adventure  Action RPG  RPG  Action,124,0
Hello Neighbor 2 Alpha 1,Adventure  Strategy  Puzzle  Stealth,125,0
Eggnog Incorporated,Choices Matter  Simulation  Management  Funny,126,7.5
Reimu's Weird little adventure,RPG  2D  Anime  Pixel Graphics,127,2.15
SCOOT,Sports  Action  3D  Realistic,128,6.5
Battle Bears 1: Zombies,Action  Casual  Arcade  Shooter,129,3.25
The Dream of Shadowlands Episode 1,RPG  Action RPG  Interactive Fiction  Visual Novel,130,0
Infernal Radiation,Co-op  Arcade  Bullet Hell  Souls-like,131,10
Aquila Bird Flight Simulator,Simulation  Casual  Flight  VR,132,5.25
Sid Classic,Early Access  RPG  Simulation  Strategy,133,0
Mutant Ops,FPS  Military  Zombies  Multiplayer,134,0
Happy New Year Zeliria!,Casual  Adventure  Visual Novel  2D,135,0
Memory Note,Adventure  Indie  Casual  Visual Novel,136,2.15
Mey Rescuer,On-Rails Shooter  Cats  Cute  Hero Shooter,137,3.25
RUSSIAPHOBIA,Indie  Adventure  Memes  RPG,138,1.1
Save Christmas,Adventure  Action  Survival  Action-Adventure,139,1.1
Naudrion: Fall of The Empire,RPG  Open World  Early Access  Third Person,140,10
Vaccine19,0  FPS  Bullet Time  Time Manipulation,141,0
OMORI,Indie  Psychological Horror  Story Rich  Pixel Graphics,142,18.5
Hunting For Trump,Adventure  Simulation  Action  Survival,143,1.1
Cold Call,Horror  Survival Horror  Side Scroller  2D Platformer,144,1.1
Yolo Space Hacker,Hacking  Puzzle  Stealth  Interactive Fiction,145,22
???? ?????,RPG  Word Game  Dating Sim  Funny,146,4.25
Stan Lee's Verticus,0  Action  Adventure  Superhero,147,0
Understanding The Game,Adventure  Simulation  Exploration  Interactive Fiction,148,0
No Place Like Home,Early Access  Farming Sim  Base Building  Exploration,149,5.25
Welcome to Emba,Adventure  Sci-fi  Experimental  Comic Book,150,0
Battle Bears -1,Action  Casual  Shooter  Survival,151,3.25
Estigma [Steam Edition],Casual  Horror  Experimental  2D,152,0
Ortharion project,Hack and Slash  Action RPG  Action-Adventure  RPG,153,18.5
Dark Fantasy Warriors,Action  Adventure  Souls-like  Dark Fantasy,154,2.15
Leaper,Runner  Survival  Voxel  Roguelike,155,2.15
Vicewave,Open World  Crime  Sandbox  1980s,156,10
Hello Guest: Hello Neighbor 2 pre-alpha,Adventure  Strategy  Puzzle  Action-Adventure,157,0
Animal Rescuer,Action  Adventure  RPG  Action RPG,158,14.5
Hand Simulator: Horror,Simulation  Survival Horror  Physics  Multiplayer,159,3.25
ClickCells: Summer,Cute  2D  Anime  Linear,160,1.1
BOT.vinnik Chess: Opening Traps,Chess  Artificial Intelligence  Education  Unforgiving,161,1.1
Waiting For The Raven,Grand Strategy  Management  Choose Your Own Adventure  Puzzle,162,14.5
Mini Moves: Among Stars,Mouse only  Education  Minigames  Stylized,163,1.1
Ratropolis,Strategy  Deckbuilding  Card Battler  Casual,164,17
Puzzle - STONE BLOCKS,Casual  Indie  0  Adventure,165,0
??? Blade of God,RPG  Action  Action-Adventure  Nudity,166,7.5
AccidentHouse,Indie  Horror  Investigation  Survival Horror,167,1.1
Idle Slayer,Casual  Idler  Experimental  Clicker,168,5.25
Atlas Architect,Early Access  Casual  Exploration  Procedural Generation,169,13
Zup! Z,Puzzle  Indie  Casual  Fast-Paced,170,1.1
Mython Island,Early Access  Creature Collector  Roguelite  RPG,171,10
Cars vs Zombies,Racing  Casual  Sports  Shooter,172,1.1
Radioactive dwarfs: evil from the sewers,Arcade  Platformer  Underground  Shooter,173,2.15
Air Bounce - The Jump 'n' Run Challenge,Action  3D Platformer  Platformer  First-Person,174,5.25
Mini Car Money Chase,Racing  3D Platformer  Spectacle fighter  Sports,175,1.1
Jack's Labyrinth,Arena Shooter  Experimental  Exploration  Runner,176,2.15
ZERO GUNNER 2-,Shooter  Arcade  Action  3D,177,10
Santa Claus in Trouble (HD),Action  Casual  3D Platformer  Family Friendly,178,10
Pumping Simulator,Early Access  Simulation  Management  First-Person,179,18.5
Pandemos,Arcade  Cute  Retro  Memes,180,1.1
100 hidden aliens,Casual  Hidden Object  Creature Collector  Adventure,181,1.1
Don't Give Up: Not Ready to Die,Survival  Survival Horror  Management  Time Management,182,2.15
Love n Dream: Virtual Happiness,Sexual Content  Nudity  Card Game  Dungeon Crawler,183,2.15
Magical Swordmaiden,RPG  Indie  Female Protagonist  Action,184,18.5
The Cat Banny,Casual  Puzzle  Strategy  Hidden Object,185,2.15
Harvest Island: Beginnings,Exploration  Collectathon  Investigation  Relaxing,186,0
Scraps: Modular Vehicle Combat,Vehicular Combat  Building  Indie  Simulation,187,14.5
Founders' Fortune,Colony Sim  Simulation  Base Building  Strategy,188,18.5
Shatris: Infinite Puzzles,Casual  Indie  Puzzle  2D,189,3.25
Wattam,Indie  Casual  Adventure  Cute,190,18.5
Flying Hero X,Simulation  Action  Flight  Superhero,191,10
Hollow Witch,Precision Platformer  Female Protagonist  Souls-like  Dungeon Crawler,192,2.15
Paralyzed,Precision Platformer  Difficult  2D Platformer  Colorful,193,3.99
Melody/????,Music  Rhythm  Casual  Anime,194,4.25
Riddle Joker,Romance  Visual Novel  Casual  Story Rich,195,29
Life of Fly,Simulation  Story Rich  Philosophical  Casual,196,14.5
Idle Monster TD,Early Access  Strategy  Tower Defense  Idler,197,0
CrashMetal - Cyberpunk,Racing  Cyberpunk  Open World  Moddable,198,5.25
Sink Again,Pirates  Sailing  Turn-Based Combat  Turn-Based Tactics,199,12
Unforgotten,Casual  Indie  Adventure  Visual Novel,200,5.25
SPACERIFT: Arcanum System,Early Access  Massively Multiplayer  Open World  Sci-fi,201,9
Howdy Jacob!,Hidden Object  FMV  Dystopian   Dark Humor,202,10
Don't Be Afraid,First-Person  Horror  Survival  Walking Simulator,203,14
Fireworks Mania - An Explosive Simulator,Casual  Simulation  Indie  Sandbox,204,12
Geometric Sniper,FPS  Hidden Object  Hand-drawn  Casual,205,2.15
Terra Randoma,Traditional Roguelike  RPG  Indie  Early Access,206,14.5
Demian: The Ritual,Puzzle  Adventure  Point & Click  Dark,207,2.15
BATTLE ARENA: Robot Apocalypse,Early Access  Arena Shooter  Hero Shooter  Robots,208,2.15
LOCIS,Survival Horror  Roguelite  Procedural Generation  Exploration,209,10
Moi Mei 2,Early Access  Casual  Side Scroller  2D Platformer,210,9
Fight of Animals: Arena,Memes  PvP  4 Player Local  Multiplayer,211,13
Glory of Rome,Strategy  Rome  Building  City Builder,212,7.5
Phi,Casual  2D  Adventure  Top-Down,213,0
Hanoi Puzzles: Solid Match,Puzzle  Match 3  Hex Grid  Board Game,214,1.1
Colossus Down,Adventure  Local Multiplayer  Anime  Fighting,215,17
Soccer Manager 2021,Sports  Management  Football  Singleplayer,216,0
Dealer's Life 2,Trading  Memes  Management  Capitalism,217,10
ABYSS OF THE SACRIFICE,Visual Novel  Adventure  Story Rich  Anime,218,34
Franchise Hockey Manager 7,Strategy  Hockey  Sports  Simulation,219,34
Mermaid Adventures: The Magic Pearl,Casual  Adventure  Hidden Object  Match 3,220,6.5
Ken ga Kimi: Momoyo Tsuzuri,RPG  JRPG  Dating Sim  Visual Novel,221,42
The Chess Variants Club,Tabletop  Board Game  Simulation  Chess,222,4.25
